{'idx': 773, 'pred_ans': '3', 'GT': '10'}
{'idx': 494, 'pred_ans': '29', 'GT': '21'}
{'idx': 214, 'pred_ans': '2', 'GT': '8'}
{'idx': 107, 'pred_ans': '30', 'GT': '3'}
{'idx': 701, 'pred_ans': '288', 'GT': '200'}
{'idx': 655, 'pred_ans': '0', 'GT': '10'}
{'idx': 609, 'pred_ans': '84', 'GT': '7'}
{'idx': 1084, 'pred_ans': '240', 'GT': '20'}
{'idx': 784, 'pred_ans': '20', 'GT': '15'}
{'idx': 26, 'pred_ans': '4', 'GT': '243'}
{'idx': 601, 'pred_ans': '20', 'GT': '104'}
{'idx': 8, 'pred_ans': '160', 'GT': '45'}
{'idx': 1280, 'pred_ans': '20', 'GT': '7'}
{'idx': 509, 'pred_ans': '2', 'GT': '4'}
{'idx': 925, 'pred_ans': '20', 'GT': '2000'}
{'idx': 1164, 'pred_ans': '10', 'GT': '9'}
{'idx': 375, 'pred_ans': '42', 'GT': '48'}
{'idx': 379, 'pred_ans': '4', 'GT': '21'}
{'idx': 1217, 'pred_ans': '27', 'GT': '75'}
{'idx': 1111, 'pred_ans': '3600', 'GT': '157'}
{'idx': 793, 'pred_ans': '490', 'GT': '250'}
{'idx': 887, 'pred_ans': '4', 'GT': '34'}
{'idx': 1056, 'pred_ans': '1352', 'GT': '156'}
{'idx': 1205, 'pred_ans': '2', 'GT': '4'}
{'idx': 389, 'pred_ans': '18', 'GT': '6'}
{'idx': 336, 'pred_ans': '3', 'GT': '72'}
{'idx': 106, 'pred_ans': '1', 'GT': '72'}
{'idx': 1310, 'pred_ans': '4', 'GT': '64'}
{'idx': 1309, 'pred_ans': '730', 'GT': '2280'}
{'idx': 185, 'pred_ans': '60', 'GT': '30'}
{'idx': 1294, 'pred_ans': '40', 'GT': '36'}
{'idx': 539, 'pred_ans': '60', 'GT': '35'}
{'idx': 1306, 'pred_ans': '-2', 'GT': '2'}
{'idx': 112, 'pred_ans': '72', 'GT': '24'}
{'idx': 467, 'pred_ans': '920', 'GT': '1200'}
{'idx': 737, 'pred_ans': '4800', 'GT': '2'}
{'idx': 501, 'pred_ans': '2', 'GT': '273'}
{'idx': 738, 'pred_ans': '10', 'GT': '4'}
{'idx': 1092, 'pred_ans': '4', 'GT': '1080'}
{'idx': 101, 'pred_ans': '15', 'GT': '6'}
{'idx': 111, 'pred_ans': '5', 'GT': '16'}
{'idx': 315, 'pred_ans': '10', 'GT': '14'}
{'idx': 438, 'pred_ans': '5', 'GT': '2'}
{'idx': 641, 'pred_ans': '20', 'GT': '262500'}
{'idx': 135, 'pred_ans': '65', 'GT': '40'}
{'idx': 508, 'pred_ans': '2', 'GT': '120'}
{'idx': 395, 'pred_ans': '-49', 'GT': '38'}
{'idx': 822, 'pred_ans': '12600', 'GT': '1260'}
{'idx': 96, 'pred_ans': '0', 'GT': '3'}
{'idx': 969, 'pred_ans': '2', 'GT': '1800'}
{'idx': 1141, 'pred_ans': '400', 'GT': '20'}
{'idx': 763, 'pred_ans': '437', 'GT': '100'}
{'idx': 9, 'pred_ans': '2', 'GT': '460'}
{'idx': 878, 'pred_ans': '14', 'GT': '5'}
{'idx': 190, 'pred_ans': '12', 'GT': '360'}
{'idx': 663, 'pred_ans': '198', 'GT': '193'}
{'idx': 782, 'pred_ans': '2', 'GT': '54'}
{'idx': 997, 'pred_ans': '3700', 'GT': '6600'}
{'idx': 1299, 'pred_ans': '2', 'GT': '13'}
{'idx': 1207, 'pred_ans': '69', 'GT': '64'}
{'idx': 597, 'pred_ans': '30', 'GT': '90'}
{'idx': 559, 'pred_ans': '45', 'GT': '16'}
{'idx': 485, 'pred_ans': '500', 'GT': '220'}
{'idx': 963, 'pred_ans': '40', 'GT': '147'}
{'idx': 350, 'pred_ans': '20', 'GT': '8'}
{'idx': 507, 'pred_ans': '15', 'GT': '2'}
{'idx': 944, 'pred_ans': '2', 'GT': '34'}
{'idx': 1200, 'pred_ans': '72', 'GT': '8'}
{'idx': 604, 'pred_ans': '15', 'GT': '12'}
{'idx': 802, 'pred_ans': '5', 'GT': '6'}
{'idx': 292, 'pred_ans': '750', 'GT': '75'}
{'idx': 307, 'pred_ans': '2', 'GT': '16'}
{'idx': 353, 'pred_ans': '42', 'GT': '20'}
{'idx': 371, 'pred_ans': '70', 'GT': '50'}
{'idx': 178, 'pred_ans': '86', 'GT': '122'}
{'idx': 1, 'pred_ans': '6', 'GT': '3'}
{'idx': 117, 'pred_ans': '600', 'GT': '360'}
{'idx': 882, 'pred_ans': '17', 'GT': '5'}
{'idx': 293, 'pred_ans': '92', 'GT': '83'}
{'idx': 148, 'pred_ans': '1', 'GT': '30'}
{'idx': 892, 'pred_ans': '5', 'GT': '1'}
{'idx': 820, 'pred_ans': '12', 'GT': '720'}
{'idx': 243, 'pred_ans': '20', 'GT': '250'}
{'idx': 131, 'pred_ans': '1', 'GT': '940'}
{'idx': 613, 'pred_ans': '10', 'GT': '93000'}
{'idx': 996, 'pred_ans': '-3', 'GT': '3'}
{'idx': 955, 'pred_ans': '1', 'GT': '100'}
{'idx': 394, 'pred_ans': '60', 'GT': '92'}
{'idx': 1012, 'pred_ans': '2', 'GT': '94'}
{'idx': 123, 'pred_ans': '65', 'GT': '50'}
{'idx': 1281, 'pred_ans': '160', 'GT': '20'}
{'idx': 423, 'pred_ans': '28', 'GT': '8'}
{'idx': 1031, 'pred_ans': '20', 'GT': '5'}
{'idx': 630, 'pred_ans': '25', 'GT': '10'}
{'idx': 404, 'pred_ans': '2', 'GT': '22'}
{'idx': 640, 'pred_ans': '44500', 'GT': '43500'}
{'idx': 1035, 'pred_ans': '40', 'GT': '35'}
{'idx': 906, 'pred_ans': '1', 'GT': '10'}
{'idx': 800, 'pred_ans': '1', 'GT': '428'}
{'idx': 383, 'pred_ans': '438', 'GT': '2'}
{'idx': 238, 'pred_ans': '500', 'GT': '68'}
{'idx': 5, 'pred_ans': '78', 'GT': '64'}
{'idx': 493, 'pred_ans': '2', 'GT': '25'}
{'idx': 1275, 'pred_ans': '14', 'GT': '16'}
{'idx': 415, 'pred_ans': '140', 'GT': '350'}
{'idx': 55, 'pred_ans': '15', 'GT': '14'}
{'idx': 533, 'pred_ans': '1800', 'GT': '300'}
{'idx': 361, 'pred_ans': '60', 'GT': '20'}
{'idx': 1284, 'pred_ans': '71', 'GT': '25'}
{'idx': 790, 'pred_ans': '20', 'GT': '108'}
{'idx': 574, 'pred_ans': '2', 'GT': '37'}
{'idx': 870, 'pred_ans': '240', 'GT': '40'}
{'idx': 1293, 'pred_ans': '500', 'GT': '140000'}
{'idx': 571, 'pred_ans': '4', 'GT': '308'}
{'idx': 619, 'pred_ans': '5', 'GT': '76'}
{'idx': 720, 'pred_ans': '20', 'GT': '4'}
{'idx': 1029, 'pred_ans': '52', 'GT': '34'}
{'idx': 207, 'pred_ans': '500', 'GT': '2600'}
{'idx': 1086, 'pred_ans': '90000', 'GT': '131250'}
{'idx': 844, 'pred_ans': '210', 'GT': '180'}
{'idx': 308, 'pred_ans': '20', 'GT': '6'}
{'idx': 1239, 'pred_ans': '3000', 'GT': '50'}
{'idx': 47, 'pred_ans': '200', 'GT': '800'}
{'idx': 830, 'pred_ans': '264', 'GT': '1128'}
{'idx': 639, 'pred_ans': '8', 'GT': '216'}
{'idx': 893, 'pred_ans': '20', 'GT': '480'}
{'idx': 450, 'pred_ans': '13', 'GT': '4'}
{'idx': 1026, 'pred_ans': '172800', 'GT': '43200'}
{'idx': 374, 'pred_ans': '20', 'GT': '45'}
{'idx': 413, 'pred_ans': '475000', 'GT': '25'}
{'idx': 818, 'pred_ans': '2', 'GT': '16'}
{'idx': 359, 'pred_ans': '3', 'GT': '4'}
{'idx': 757, 'pred_ans': '120', 'GT': '75'}
{'idx': 1215, 'pred_ans': '338', 'GT': '36'}
{'idx': 465, 'pred_ans': '20', 'GT': '30'}
{'idx': 917, 'pred_ans': '4', 'GT': '12'}
{'idx': 435, 'pred_ans': '1', 'GT': '5'}
{'idx': 995, 'pred_ans': '20', 'GT': '12'}
{'idx': 1157, 'pred_ans': '2', 'GT': '3'}
{'idx': 1006, 'pred_ans': '806', 'GT': '826'}
{'idx': 146, 'pred_ans': '2155', 'GT': '2125'}
{'idx': 1133, 'pred_ans': '2', 'GT': '50'}
{'idx': 298, 'pred_ans': '650', 'GT': '500'}
{'idx': 547, 'pred_ans': '1088', 'GT': '81'}
{'idx': 810, 'pred_ans': '320', 'GT': '310'}
{'idx': 218, 'pred_ans': '2', 'GT': '45'}
{'idx': 437, 'pred_ans': '2', 'GT': '7'}
{'idx': 134, 'pred_ans': '1', 'GT': '720'}
{'idx': 510, 'pred_ans': '30', 'GT': '525'}
{'idx': 855, 'pred_ans': '9', 'GT': '13'}
{'idx': 487, 'pred_ans': '200', 'GT': '4'}
{'idx': 316, 'pred_ans': '20', 'GT': '156'}
{'idx': 186, 'pred_ans': '20', 'GT': '5'}
{'idx': 1259, 'pred_ans': '4', 'GT': '7200'}
{'idx': 531, 'pred_ans': '70', 'GT': '66'}
{'idx': 143, 'pred_ans': '20', 'GT': '16'}
{'idx': 456, 'pred_ans': '135', 'GT': '78'}
{'idx': 1277, 'pred_ans': '36', 'GT': '48'}
{'idx': 1265, 'pred_ans': '1', 'GT': '36'}
{'idx': 918, 'pred_ans': '2', 'GT': '56'}
{'idx': 835, 'pred_ans': '4', 'GT': '48'}
{'idx': 1186, 'pred_ans': '2', 'GT': '19'}
{'idx': 692, 'pred_ans': '25', 'GT': '32'}
{'idx': 343, 'pred_ans': '5400000', 'GT': '180000'}
{'idx': 288, 'pred_ans': '80', 'GT': '3'}
{'idx': 742, 'pred_ans': '0', 'GT': '24'}
{'idx': 719, 'pred_ans': '2', 'GT': '175'}
{'idx': 152, 'pred_ans': '20', 'GT': '4'}
{'idx': 561, 'pred_ans': '4', 'GT': '180'}
{'idx': 724, 'pred_ans': '2', 'GT': '18'}
{'idx': 880, 'pred_ans': '530', 'GT': '10'}
{'idx': 1075, 'pred_ans': '80', 'GT': '16'}
{'idx': 633, 'pred_ans': '36', 'GT': '5'}
{'idx': 924, 'pred_ans': '24', 'GT': '12'}
{'idx': 644, 'pred_ans': '61', 'GT': '29'}
{'idx': 1050, 'pred_ans': '6', 'GT': '655'}
{'idx': 1048, 'pred_ans': '16800', 'GT': '7400'}
{'idx': 895, 'pred_ans': '20', 'GT': '74'}
{'idx': 1059, 'pred_ans': '36', 'GT': '2'}
{'idx': 682, 'pred_ans': '93', 'GT': '80'}
{'idx': 373, 'pred_ans': '400000', 'GT': '240000'}
{'idx': 647, 'pred_ans': '8', 'GT': '10'}
{'idx': 741, 'pred_ans': '20', 'GT': '28'}
{'idx': 200, 'pred_ans': '1320000', 'GT': '55'}
{'idx': 260, 'pred_ans': '2', 'GT': '11'}
{'idx': 1262, 'pred_ans': '62', 'GT': '12'}
{'idx': 921, 'pred_ans': '20', 'GT': '4'}
{'idx': 1095, 'pred_ans': '2', 'GT': '270'}
{'idx': 649, 'pred_ans': '160000', 'GT': '162000'}
{'idx': 1187, 'pred_ans': '3', 'GT': '5'}
{'idx': 474, 'pred_ans': '20', 'GT': '80'}
{'idx': 498, 'pred_ans': '23', 'GT': '40'}
{'idx': 1287, 'pred_ans': '50', 'GT': '84'}
{'idx': 1208, 'pred_ans': '0', 'GT': '27'}
{'idx': 789, 'pred_ans': '600', 'GT': '4'}
{'idx': 1096, 'pred_ans': '5', 'GT': '240'}
{'idx': 424, 'pred_ans': '20', 'GT': '570'}
{'idx': 433, 'pred_ans': '2', 'GT': '6'}
{'idx': 838, 'pred_ans': '20', 'GT': '15'}
{'idx': 491, 'pred_ans': '2', 'GT': '16'}
{'idx': 154, 'pred_ans': '208', 'GT': '272'}
{'idx': 43, 'pred_ans': '7', 'GT': '48'}
{'idx': 829, 'pred_ans': '4', 'GT': '14000'}
{'idx': 138, 'pred_ans': '500', 'GT': '105'}
{'idx': 542, 'pred_ans': '10', 'GT': '7'}
{'idx': 12, 'pred_ans': '9', 'GT': '13'}
{'idx': 228, 'pred_ans': '2', 'GT': '1'}
{'idx': 623, 'pred_ans': '32', 'GT': '8'}
{'idx': 16, 'pred_ans': '500', 'GT': '230'}
{'idx': 1068, 'pred_ans': '2', 'GT': '24'}
{'idx': 569, 'pred_ans': '2', 'GT': '21'}
{'idx': 549, 'pred_ans': '402', 'GT': '398'}
{'idx': 189, 'pred_ans': '20', 'GT': '34'}
{'idx': 672, 'pred_ans': '4', 'GT': '2'}
{'idx': 240, 'pred_ans': '42', 'GT': '21'}
{'idx': 903, 'pred_ans': '4', 'GT': '16'}
{'idx': 104, 'pred_ans': '125', 'GT': '500'}
{'idx': 396, 'pred_ans': '7', 'GT': '3'}
{'idx': 1088, 'pred_ans': '65', 'GT': '30'}
{'idx': 90, 'pred_ans': '500', 'GT': '225'}
{'idx': 1140, 'pred_ans': '6', 'GT': '27'}
{'idx': 1174, 'pred_ans': '595', 'GT': '240'}
{'idx': 1089, 'pred_ans': '2', 'GT': '32'}
{'idx': 662, 'pred_ans': '20', 'GT': '7'}
{'idx': 1170, 'pred_ans': '8', 'GT': '2'}
{'idx': 1077, 'pred_ans': '20', 'GT': '145'}
{'idx': 1073, 'pred_ans': '2', 'GT': '21'}
{'idx': 614, 'pred_ans': '2', 'GT': '312'}
{'idx': 792, 'pred_ans': '4', 'GT': '75'}
{'idx': 645, 'pred_ans': '16', 'GT': '48'}
{'idx': 1110, 'pred_ans': '30', 'GT': '60'}
{'idx': 755, 'pred_ans': '-120', 'GT': '7'}
{'idx': 286, 'pred_ans': '20', 'GT': '90'}
{'idx': 590, 'pred_ans': '110', 'GT': '319'}
{'idx': 219, 'pred_ans': '-44', 'GT': '54'}
{'idx': 1236, 'pred_ans': '16', 'GT': '84'}
{'idx': 1009, 'pred_ans': '375', 'GT': '1875'}
{'idx': 998, 'pred_ans': '2', 'GT': '50'}
{'idx': 125, 'pred_ans': '7', 'GT': '10'}
{'idx': 989, 'pred_ans': '4', 'GT': '45'}
{'idx': 1137, 'pred_ans': '0', 'GT': '68'}
{'idx': 1071, 'pred_ans': '20', 'GT': '251'}
{'idx': 568, 'pred_ans': '195', 'GT': '175'}
{'idx': 1192, 'pred_ans': '20', 'GT': '280'}
{'idx': 229, 'pred_ans': '48', 'GT': '21'}
{'idx': 1055, 'pred_ans': '1', 'GT': '2304'}
{'idx': 98, 'pred_ans': '45', 'GT': '5'}
{'idx': 722, 'pred_ans': '20', 'GT': '255'}
{'idx': 381, 'pred_ans': '87', 'GT': '67'}
{'idx': 1166, 'pred_ans': '2', 'GT': '2350'}
{'idx': 255, 'pred_ans': '16', 'GT': '192'}
{'idx': 1119, 'pred_ans': '49', 'GT': '18'}
{'idx': 1303, 'pred_ans': '570', 'GT': '4'}
{'idx': 580, 'pred_ans': '451', 'GT': '500'}
{'idx': 936, 'pred_ans': '840', 'GT': '250'}
{'idx': 1161, 'pred_ans': '', 'GT': '170'}
{'idx': 617, 'pred_ans': '2', 'GT': '5'}
{'idx': 833, 'pred_ans': '10', 'GT': '40'}
{'idx': 534, 'pred_ans': '2', 'GT': '300'}
{'idx': 909, 'pred_ans': '5', 'GT': '38'}
{'idx': 427, 'pred_ans': '22', 'GT': '150'}
{'idx': 965, 'pred_ans': '466', 'GT': '374'}
{'idx': 1100, 'pred_ans': '20', 'GT': '5'}
{'idx': 1283, 'pred_ans': '1500', 'GT': '60'}
{'idx': 856, 'pred_ans': '2', 'GT': '7'}
{'idx': 1181, 'pred_ans': '15', 'GT': '20'}
{'idx': 130, 'pred_ans': '2', 'GT': '30'}
{'idx': 528, 'pred_ans': '4', 'GT': '172'}
{'idx': 289, 'pred_ans': '160', 'GT': '16'}
{'idx': 1229, 'pred_ans': '20', 'GT': '36'}
{'idx': 1126, 'pred_ans': '60', 'GT': '50'}
{'idx': 340, 'pred_ans': '2', 'GT': '4'}
{'idx': 733, 'pred_ans': '7', 'GT': '5'}
{'idx': 198, 'pred_ans': '240', 'GT': '320'}
{'idx': 446, 'pred_ans': '10', 'GT': '2'}
{'idx': 15, 'pred_ans': '5125', 'GT': '125'}
{'idx': 595, 'pred_ans': '18', 'GT': '13'}
{'idx': 1292, 'pred_ans': '73', 'GT': '67'}
{'idx': 330, 'pred_ans': '42', 'GT': '31'}
{'idx': 1264, 'pred_ans': '20', 'GT': '210'}
{'idx': 783, 'pred_ans': '2', 'GT': '4'}
{'idx': 1024, 'pred_ans': '500', 'GT': '300'}
{'idx': 1175, 'pred_ans': '500', 'GT': '16'}
{'idx': 147, 'pred_ans': '2', 'GT': '75'}
{'idx': 673, 'pred_ans': '42', 'GT': '9'}
{'idx': 769, 'pred_ans': '360', 'GT': '110'}
{'idx': 1260, 'pred_ans': '180', 'GT': '5'}
{'idx': 439, 'pred_ans': '44', 'GT': '17'}
{'idx': 2, 'pred_ans': '500', 'GT': '70000'}
{'idx': 634, 'pred_ans': '26', 'GT': '14'}
{'idx': 801, 'pred_ans': '6000', 'GT': '1240'}
{'idx': 500, 'pred_ans': '31', 'GT': '16'}
{'idx': 875, 'pred_ans': '100', 'GT': '60'}
{'idx': 56, 'pred_ans': '700', 'GT': '3'}
{'idx': 653, 'pred_ans': '120', 'GT': '80'}
{'idx': 530, 'pred_ans': '20', 'GT': '36'}
{'idx': 132, 'pred_ans': '6', 'GT': '60'}
{'idx': 1153, 'pred_ans': '12', 'GT': '20'}
{'idx': 108, 'pred_ans': '225', 'GT': '50'}
{'idx': 199, 'pred_ans': '2', 'GT': '7500'}
{'idx': 296, 'pred_ans': '20', 'GT': '3'}
{'idx': 280, 'pred_ans': '2', 'GT': '7'}
{'idx': 236, 'pred_ans': '35', 'GT': '31'}
{'idx': 419, 'pred_ans': '11000', 'GT': '3000'}
{'idx': 890, 'pred_ans': '75', 'GT': '25'}
{'idx': 86, 'pred_ans': '20', 'GT': '22'}
{'idx': 1090, 'pred_ans': '6', 'GT': '72'}
{'idx': 193, 'pred_ans': '12', 'GT': '24'}
{'idx': 1213, 'pred_ans': '1', 'GT': '31'}
{'idx': 786, 'pred_ans': '4', 'GT': '142'}
{'idx': 119, 'pred_ans': '20', 'GT': '95200'}
{'idx': 113, 'pred_ans': '2', 'GT': '25'}
{'idx': 88, 'pred_ans': '80000', 'GT': '8000'}
{'idx': 1251, 'pred_ans': '32', 'GT': '30'}
{'idx': 1238, 'pred_ans': '3', 'GT': '520'}
{'idx': 1145, 'pred_ans': '4', 'GT': '291'}
{'idx': 339, 'pred_ans': '1', 'GT': '160'}
{'idx': 1222, 'pred_ans': '29', 'GT': '350'}
{'idx': 226, 'pred_ans': '44', 'GT': '33'}
{'idx': 313, 'pred_ans': '130000', 'GT': '120000'}
{'idx': 525, 'pred_ans': '20', 'GT': '12'}
{'idx': 1185, 'pred_ans': '9', 'GT': '6'}
{'idx': 417, 'pred_ans': '1460', 'GT': '3140'}
{'idx': 589, 'pred_ans': '2', 'GT': '15'}
{'idx': 360, 'pred_ans': '90', 'GT': '25'}
{'idx': 1019, 'pred_ans': '63', 'GT': '98'}
{'idx': 1109, 'pred_ans': '1', 'GT': '3'}
{'idx': 349, 'pred_ans': '5680', 'GT': '2640'}
{'idx': 1159, 'pred_ans': '2', 'GT': '50'}
{'idx': 1150, 'pred_ans': '69', 'GT': '21'}
{'idx': 716, 'pred_ans': '790', 'GT': '770'}
{'idx': 831, 'pred_ans': '6480', 'GT': '324'}
{'idx': 765, 'pred_ans': '424', 'GT': '490'}
{'idx': 1030, 'pred_ans': '4', 'GT': '24'}
{'idx': 28, 'pred_ans': '40', 'GT': '25'}
{'idx': 23, 'pred_ans': '0', 'GT': '8'}
{'idx': 950, 'pred_ans': '12', 'GT': '5'}
{'idx': 164, 'pred_ans': '12', 'GT': '15'}
{'idx': 1263, 'pred_ans': '20', 'GT': '500'}
{'idx': 116, 'pred_ans': '8', 'GT': '42'}
{'idx': 54, 'pred_ans': '500', 'GT': '40'}
{'idx': 871, 'pred_ans': '12', 'GT': '48'}
{'idx': 1144, 'pred_ans': '16', 'GT': '34'}
{'idx': 1158, 'pred_ans': '2300', 'GT': '7300'}
{'idx': 715, 'pred_ans': '20', 'GT': '385000'}
{'idx': 807, 'pred_ans': '12', 'GT': '4'}
{'idx': 949, 'pred_ans': '3500', 'GT': '42'}
{'idx': 1282, 'pred_ans': '20', 'GT': '12'}
{'idx': 520, 'pred_ans': '210', 'GT': '63'}
{'idx': 824, 'pred_ans': '20', 'GT': '52'}
{'idx': 1188, 'pred_ans': '14', 'GT': '24'}
{'idx': 1285, 'pred_ans': '1208', 'GT': '1218'}
{'idx': 910, 'pred_ans': '5', 'GT': '700'}
{'idx': 691, 'pred_ans': '10', 'GT': '25'}
{'idx': 556, 'pred_ans': '20', 'GT': '160'}
{'idx': 442, 'pred_ans': '200', 'GT': '49'}
{'idx': 412, 'pred_ans': '60', 'GT': '5'}
{'idx': 916, 'pred_ans': '2', 'GT': '14'}
{'idx': 984, 'pred_ans': '-3', 'GT': '342'}
{'idx': 227, 'pred_ans': '20', 'GT': '9'}
{'idx': 495, 'pred_ans': '10', 'GT': '200'}
{'idx': 1232, 'pred_ans': '5', 'GT': '15'}
{'idx': 401, 'pred_ans': '4', 'GT': '14400'}
{'idx': 237, 'pred_ans': '1800', 'GT': '90'}
{'idx': 957, 'pred_ans': '20', 'GT': '45'}
{'idx': 304, 'pred_ans': '17', 'GT': '3200'}
{'idx': 50, 'pred_ans': '256', 'GT': '294'}
{'idx': 622, 'pred_ans': '20', 'GT': '7'}
{'idx': 479, 'pred_ans': '20', 'GT': '15400'}
{'idx': 770, 'pred_ans': '5', 'GT': '4'}
{'idx': 535, 'pred_ans': '2', 'GT': '16'}
{'idx': 651, 'pred_ans': '3500', 'GT': '2100'}
{'idx': 1256, 'pred_ans': '2', 'GT': '15'}
{'idx': 1242, 'pred_ans': '40', 'GT': '20'}
{'idx': 242, 'pred_ans': '5', 'GT': '3'}
{'idx': 953, 'pred_ans': '7', 'GT': '452'}
{'idx': 540, 'pred_ans': '110', 'GT': '39'}
{'idx': 311, 'pred_ans': '500', 'GT': '91'}
{'idx': 282, 'pred_ans': '3', 'GT': '195'}
{'idx': 911, 'pred_ans': '5', 'GT': '64'}
{'idx': 95, 'pred_ans': '67', 'GT': '40'}
{'idx': 1017, 'pred_ans': '58', 'GT': '45'}
{'idx': 1147, 'pred_ans': '20', 'GT': '22'}
{'idx': 711, 'pred_ans': '2', 'GT': '6'}
{'idx': 1177, 'pred_ans': '2', 'GT': '17'}
{'idx': 453, 'pred_ans': '2', 'GT': '6400'}
{'idx': 68, 'pred_ans': '20', 'GT': '36'}
{'idx': 71, 'pred_ans': '2', 'GT': '60'}
{'idx': 432, 'pred_ans': '300', 'GT': '30'}
{'idx': 100, 'pred_ans': '715', 'GT': '175'}
{'idx': 579, 'pred_ans': '20', 'GT': '7'}
{'idx': 1053, 'pred_ans': '75', 'GT': '55'}
{'idx': 46, 'pred_ans': '15', 'GT': '163'}
{'idx': 478, 'pred_ans': '14000', 'GT': '621'}
{'idx': 1069, 'pred_ans': '20', 'GT': '300'}
{'idx': 496, 'pred_ans': '50', 'GT': '38'}
{'idx': 1246, 'pred_ans': '4', 'GT': '3360'}
{'idx': 473, 'pred_ans': '98', 'GT': '10'}
{'idx': 926, 'pred_ans': '2', 'GT': '1'}
{'idx': 847, 'pred_ans': '1', 'GT': '975'}
{'idx': 270, 'pred_ans': '1', 'GT': '762'}
{'idx': 901, 'pred_ans': '2', 'GT': '1'}
{'idx': 75, 'pred_ans': '8', 'GT': '60'}
{'idx': 712, 'pred_ans': '15', 'GT': '14'}
{'idx': 416, 'pred_ans': '180', 'GT': '56'}
{'idx': 687, 'pred_ans': '18', 'GT': '13'}
{'idx': 900, 'pred_ans': '13', 'GT': '15'}
{'idx': 845, 'pred_ans': '7', 'GT': '12'}
{'idx': 721, 'pred_ans': '13350', 'GT': '2450'}
{'idx': 69, 'pred_ans': '140', 'GT': '60'}
{'idx': 598, 'pred_ans': '67', 'GT': '69'}
{'idx': 1163, 'pred_ans': '624', 'GT': '12'}
{'idx': 414, 'pred_ans': '2', 'GT': '56'}
{'idx': 779, 'pred_ans': '5', 'GT': '255'}
{'idx': 816, 'pred_ans': '20', 'GT': '4500'}
{'idx': 398, 'pred_ans': '540', 'GT': '168'}
{'idx': 1290, 'pred_ans': '518', 'GT': '90'}
{'idx': 368, 'pred_ans': '24', 'GT': '18'}
{'idx': 174, 'pred_ans': '90', 'GT': '95'}
{'idx': 636, 'pred_ans': '2', 'GT': '1050'}
{'idx': 1209, 'pred_ans': '60', 'GT': '29'}
{'idx': 881, 'pred_ans': '18', 'GT': '16'}
{'idx': 1194, 'pred_ans': '4', 'GT': '1200'}
{'idx': 570, 'pred_ans': '442', 'GT': '23'}
{'idx': 1248, 'pred_ans': '8', 'GT': '750'}
{'idx': 714, 'pred_ans': '20', 'GT': '10'}
{'idx': 749, 'pred_ans': '6', 'GT': '3'}
{'idx': 115, 'pred_ans': '2', 'GT': '90'}
{'idx': 504, 'pred_ans': '0', 'GT': '2'}
{'idx': 585, 'pred_ans': '10', 'GT': '40'}
{'idx': 1190, 'pred_ans': '92', 'GT': '19'}
{'idx': 976, 'pred_ans': '20', 'GT': '540'}
{'idx': 552, 'pred_ans': '2000', 'GT': '450'}
{'idx': 876, 'pred_ans': '29', 'GT': '41'}
{'idx': 979, 'pred_ans': '15', 'GT': '50'}
{'idx': 1060, 'pred_ans': '2', 'GT': '31'}
{'idx': 0, 'pred_ans': '104', 'GT': '18'}
