{'idx': 150, 'pred_ans': '5', 'GT': '4'}
{'idx': 111, 'pred_ans': '0', 'GT': '16'}
{'idx': 438, 'pred_ans': '19', 'GT': '2'}
{'idx': 641, 'pred_ans': '259750', 'GT': '262500'}
{'idx': 508, 'pred_ans': '180', 'GT': '120'}
{'idx': 1051, 'pred_ans': '30', 'GT': '15'}
{'idx': 395, 'pred_ans': '24', 'GT': '38'}
{'idx': 1218, 'pred_ans': '4', 'GT': '225'}
{'idx': 969, 'pred_ans': '3000', 'GT': '1800'}
{'idx': 471, 'pred_ans': '160', 'GT': '80'}
{'idx': 763, 'pred_ans': '250', 'GT': '100'}
{'idx': 9, 'pred_ans': '450', 'GT': '460'}
{'idx': 878, 'pred_ans': '4', 'GT': '5'}
{'idx': 1197, 'pred_ans': '18600', 'GT': '2400'}
{'idx': 782, 'pred_ans': '27', 'GT': '54'}
{'idx': 1207, 'pred_ans': '153', 'GT': '64'}
{'idx': 559, 'pred_ans': '0', 'GT': '16'}
{'idx': 963, 'pred_ans': '167', 'GT': '147'}
{'idx': 350, 'pred_ans': '7', 'GT': '8'}
{'idx': 507, 'pred_ans': '40', 'GT': '2'}
{'idx': 1200, 'pred_ans': '10', 'GT': '8'}
{'idx': 802, 'pred_ans': '4', 'GT': '6'}
{'idx': 292, 'pred_ans': '45', 'GT': '75'}
{'idx': 307, 'pred_ans': '4', 'GT': '16'}
{'idx': 353, 'pred_ans': '6', 'GT': '20'}
{'idx': 857, 'pred_ans': '24000', 'GT': '14000'}
{'idx': 371, 'pred_ans': '112', 'GT': '50'}
{'idx': 117, 'pred_ans': '120', 'GT': '360'}
{'idx': 882, 'pred_ans': '46', 'GT': '5'}
{'idx': 148, 'pred_ans': '14', 'GT': '30'}
{'idx': 1311, 'pred_ans': '606', 'GT': '594'}
{'idx': 892, 'pred_ans': '2', 'GT': '1'}
{'idx': 820, 'pred_ans': '8', 'GT': '720'}
{'idx': 243, 'pred_ans': '550', 'GT': '250'}
{'idx': 996, 'pred_ans': '12', 'GT': '3'}
{'idx': 444, 'pred_ans': '19', 'GT': '20'}
{'idx': 394, 'pred_ans': '44', 'GT': '92'}
{'idx': 1012, 'pred_ans': '2', 'GT': '94'}
{'idx': 1281, 'pred_ans': '260', 'GT': '20'}
{'idx': 423, 'pred_ans': '28', 'GT': '8'}
{'idx': 1031, 'pred_ans': '1', 'GT': '5'}
{'idx': 1064, 'pred_ans': '233', 'GT': '247'}
{'idx': 630, 'pred_ans': '85', 'GT': '10'}
{'idx': 1082, 'pred_ans': '3', 'GT': '2'}
{'idx': 640, 'pred_ans': '40000', 'GT': '43500'}
{'idx': 1035, 'pred_ans': '45', 'GT': '35'}
{'idx': 906, 'pred_ans': '5', 'GT': '10'}
{'idx': 383, 'pred_ans': '0', 'GT': '2'}
{'idx': 238, 'pred_ans': '48', 'GT': '68'}
{'idx': 5, 'pred_ans': '28', 'GT': '64'}
{'idx': 493, 'pred_ans': '175', 'GT': '25'}
{'idx': 463, 'pred_ans': '3', 'GT': '18'}
{'idx': 1275, 'pred_ans': '14', 'GT': '16'}
{'idx': 415, 'pred_ans': '290', 'GT': '350'}
{'idx': 55, 'pred_ans': '15', 'GT': '14'}
{'idx': 533, 'pred_ans': '200', 'GT': '300'}
{'idx': 361, 'pred_ans': '48', 'GT': '20'}
{'idx': 966, 'pred_ans': '2', 'GT': '48'}
{'idx': 1284, 'pred_ans': '23', 'GT': '25'}
{'idx': 790, 'pred_ans': '120', 'GT': '108'}
{'idx': 574, 'pred_ans': '3', 'GT': '37'}
{'idx': 870, 'pred_ans': '60', 'GT': '40'}
{'idx': 1293, 'pred_ans': '20000', 'GT': '140000'}
{'idx': 1231, 'pred_ans': '73', 'GT': '70'}
{'idx': 619, 'pred_ans': '16', 'GT': '76'}
{'idx': 1029, 'pred_ans': '52', 'GT': '34'}
{'idx': 207, 'pred_ans': '6', 'GT': '2600'}
{'idx': 1086, 'pred_ans': '176750', 'GT': '131250'}
{'idx': 844, 'pred_ans': '75', 'GT': '180'}
{'idx': 308, 'pred_ans': '24', 'GT': '6'}
{'idx': 1239, 'pred_ans': '250', 'GT': '50'}
{'idx': 47, 'pred_ans': '1', 'GT': '800'}
{'idx': 830, 'pred_ans': '1152', 'GT': '1128'}
{'idx': 639, 'pred_ans': '0', 'GT': '216'}
{'idx': 893, 'pred_ans': '80', 'GT': '480'}
{'idx': 450, 'pred_ans': '14', 'GT': '4'}
{'idx': 1026, 'pred_ans': '1184000', 'GT': '43200'}
{'idx': 413, 'pred_ans': '250', 'GT': '25'}
{'idx': 818, 'pred_ans': '32', 'GT': '16'}
{'idx': 359, 'pred_ans': '10', 'GT': '4'}
{'idx': 757, 'pred_ans': '77', 'GT': '75'}
{'idx': 1215, 'pred_ans': '0', 'GT': '36'}
{'idx': 740, 'pred_ans': '40', 'GT': '25'}
{'idx': 435, 'pred_ans': '6', 'GT': '5'}
{'idx': 1006, 'pred_ans': '819', 'GT': '826'}
{'idx': 146, 'pred_ans': '2005', 'GT': '2125'}
{'idx': 1133, 'pred_ans': '3', 'GT': '50'}
{'idx': 298, 'pred_ans': '2000', 'GT': '500'}
{'idx': 547, 'pred_ans': '384', 'GT': '81'}
{'idx': 218, 'pred_ans': '38', 'GT': '45'}
{'idx': 437, 'pred_ans': '8', 'GT': '7'}
{'idx': 510, 'pred_ans': '500', 'GT': '525'}
{'idx': 855, 'pred_ans': '19', 'GT': '13'}
{'idx': 316, 'pred_ans': '56', 'GT': '156'}
{'idx': 186, 'pred_ans': '45', 'GT': '5'}
{'idx': 1259, 'pred_ans': '8640', 'GT': '7200'}
{'idx': 531, 'pred_ans': '71', 'GT': '66'}
{'idx': 143, 'pred_ans': '48', 'GT': '16'}
{'idx': 1277, 'pred_ans': '28', 'GT': '48'}
{'idx': 1265, 'pred_ans': '12', 'GT': '36'}
{'idx': 835, 'pred_ans': '4', 'GT': '48'}
{'idx': 692, 'pred_ans': '17', 'GT': '32'}
{'idx': 288, 'pred_ans': '27', 'GT': '3'}
{'idx': 742, 'pred_ans': '8', 'GT': '24'}
{'idx': 719, 'pred_ans': '-155', 'GT': '175'}
{'idx': 724, 'pred_ans': '45', 'GT': '18'}
{'idx': 880, 'pred_ans': '15', 'GT': '10'}
{'idx': 1075, 'pred_ans': '24', 'GT': '16'}
{'idx': 476, 'pred_ans': '75', 'GT': '5'}
{'idx': 924, 'pred_ans': '8', 'GT': '12'}
{'idx': 1048, 'pred_ans': '16664', 'GT': '7400'}
{'idx': 682, 'pred_ans': '140', 'GT': '80'}
{'idx': 647, 'pred_ans': '4', 'GT': '10'}
{'idx': 200, 'pred_ans': '150', 'GT': '55'}
{'idx': 260, 'pred_ans': '132', 'GT': '11'}
{'idx': 1095, 'pred_ans': '3', 'GT': '270'}
{'idx': 285, 'pred_ans': '50', 'GT': '21'}
{'idx': 1121, 'pred_ans': '140', 'GT': '35'}
{'idx': 649, 'pred_ans': '160000', 'GT': '162000'}
{'idx': 1187, 'pred_ans': '288', 'GT': '5'}
{'idx': 498, 'pred_ans': '23', 'GT': '40'}
{'idx': 1287, 'pred_ans': '72', 'GT': '84'}
{'idx': 789, 'pred_ans': '2', 'GT': '4'}
{'idx': 1096, 'pred_ans': '0', 'GT': '240'}
{'idx': 629, 'pred_ans': '192500', 'GT': '17500'}
{'idx': 433, 'pred_ans': '30', 'GT': '6'}
{'idx': 154, 'pred_ans': '112', 'GT': '272'}
{'idx': 43, 'pred_ans': '1000', 'GT': '48'}
{'idx': 829, 'pred_ans': '74000', 'GT': '14000'}
{'idx': 138, 'pred_ans': '5', 'GT': '105'}
{'idx': 12, 'pred_ans': '12', 'GT': '13'}
{'idx': 228, 'pred_ans': '15', 'GT': '1'}
{'idx': 623, 'pred_ans': '20', 'GT': '8'}
{'idx': 1068, 'pred_ans': '40', 'GT': '24'}
{'idx': 549, 'pred_ans': '482', 'GT': '398'}
{'idx': 189, 'pred_ans': '8', 'GT': '34'}
{'idx': 672, 'pred_ans': '23', 'GT': '2'}
{'idx': 240, 'pred_ans': '42', 'GT': '21'}
{'idx': 372, 'pred_ans': '15', 'GT': '5'}
{'idx': 903, 'pred_ans': '58', 'GT': '16'}
{'idx': 104, 'pred_ans': '667', 'GT': '500'}
{'idx': 396, 'pred_ans': '10', 'GT': '3'}
{'idx': 1088, 'pred_ans': '15', 'GT': '30'}
{'idx': 1140, 'pred_ans': '6', 'GT': '27'}
{'idx': 1174, 'pred_ans': '5', 'GT': '240'}
{'idx': 1089, 'pred_ans': '11', 'GT': '32'}
{'idx': 1077, 'pred_ans': '140', 'GT': '145'}
{'idx': 1073, 'pred_ans': '33', 'GT': '21'}
{'idx': 618, 'pred_ans': '18', 'GT': '36'}
{'idx': 1110, 'pred_ans': '310', 'GT': '60'}
{'idx': 286, 'pred_ans': '1', 'GT': '90'}
{'idx': 590, 'pred_ans': '2', 'GT': '319'}
{'idx': 219, 'pred_ans': '0', 'GT': '54'}
{'idx': 1236, 'pred_ans': '16', 'GT': '84'}
{'idx': 1009, 'pred_ans': '563', 'GT': '1875'}
{'idx': 30, 'pred_ans': '183', 'GT': '109'}
{'idx': 125, 'pred_ans': '9', 'GT': '10'}
{'idx': 989, 'pred_ans': '90', 'GT': '45'}
{'idx': 1137, 'pred_ans': '11', 'GT': '68'}
{'idx': 1071, 'pred_ans': '431', 'GT': '251'}
{'idx': 1151, 'pred_ans': '22', 'GT': '50'}
{'idx': 568, 'pred_ans': '155', 'GT': '175'}
{'idx': 1192, 'pred_ans': '430', 'GT': '280'}
{'idx': 1055, 'pred_ans': '864', 'GT': '2304'}
{'idx': 98, 'pred_ans': '20', 'GT': '5'}
{'idx': 722, 'pred_ans': '145', 'GT': '255'}
{'idx': 1166, 'pred_ans': '22500', 'GT': '2350'}
{'idx': 255, 'pred_ans': '40', 'GT': '192'}
{'idx': 1303, 'pred_ans': '63', 'GT': '4'}
{'idx': 580, 'pred_ans': '599', 'GT': '500'}
{'idx': 936, 'pred_ans': '840', 'GT': '250'}
{'idx': 1216, 'pred_ans': '95', 'GT': '20'}
{'idx': 1161, 'pred_ans': '2603', 'GT': '170'}
{'idx': 617, 'pred_ans': '310', 'GT': '5'}
{'idx': 534, 'pred_ans': '12', 'GT': '300'}
{'idx': 909, 'pred_ans': '8', 'GT': '38'}
{'idx': 427, 'pred_ans': '75', 'GT': '150'}
{'idx': 965, 'pred_ans': '466', 'GT': '374'}
{'idx': 1100, 'pred_ans': '4', 'GT': '5'}
{'idx': 856, 'pred_ans': '56', 'GT': '7'}
{'idx': 1181, 'pred_ans': '40', 'GT': '20'}
{'idx': 528, 'pred_ans': '212', 'GT': '172'}
{'idx': 1126, 'pred_ans': '86', 'GT': '50'}
{'idx': 340, 'pred_ans': '6', 'GT': '4'}
{'idx': 733, 'pred_ans': '7', 'GT': '5'}
{'idx': 198, 'pred_ans': '300', 'GT': '320'}
{'idx': 446, 'pred_ans': '10', 'GT': '2'}
{'idx': 15, 'pred_ans': '4004', 'GT': '125'}
{'idx': 595, 'pred_ans': '0', 'GT': '13'}
{'idx': 330, 'pred_ans': '77', 'GT': '31'}
{'idx': 1264, 'pred_ans': '65', 'GT': '210'}
{'idx': 783, 'pred_ans': '2', 'GT': '4'}
{'idx': 684, 'pred_ans': '19', 'GT': '11'}
{'idx': 1175, 'pred_ans': '8', 'GT': '16'}
{'idx': 147, 'pred_ans': '165', 'GT': '75'}
{'idx': 673, 'pred_ans': '39', 'GT': '9'}
{'idx': 1120, 'pred_ans': '280', 'GT': '560'}
{'idx': 196, 'pred_ans': '80', 'GT': '120'}
{'idx': 769, 'pred_ans': '320', 'GT': '110'}
{'idx': 439, 'pred_ans': '11', 'GT': '17'}
{'idx': 2, 'pred_ans': '40000', 'GT': '70000'}
{'idx': 500, 'pred_ans': '50', 'GT': '16'}
{'idx': 653, 'pred_ans': '120', 'GT': '80'}
{'idx': 1153, 'pred_ans': '10', 'GT': '20'}
{'idx': 108, 'pred_ans': '52', 'GT': '50'}
{'idx': 199, 'pred_ans': '10', 'GT': '7500'}
{'idx': 296, 'pred_ans': '4', 'GT': '3'}
{'idx': 236, 'pred_ans': '25', 'GT': '31'}
{'idx': 419, 'pred_ans': '7000', 'GT': '3000'}
{'idx': 86, 'pred_ans': '223760', 'GT': '22'}
{'idx': 193, 'pred_ans': '18', 'GT': '24'}
{'idx': 1213, 'pred_ans': '23', 'GT': '31'}
{'idx': 119, 'pred_ans': '1', 'GT': '95200'}
{'idx': 88, 'pred_ans': '80000', 'GT': '8000'}
{'idx': 484, 'pred_ans': '20', 'GT': '240'}
{'idx': 1145, 'pred_ans': '83', 'GT': '291'}
{'idx': 339, 'pred_ans': '240', 'GT': '160'}
{'idx': 1222, 'pred_ans': '58', 'GT': '350'}
{'idx': 226, 'pred_ans': '39', 'GT': '33'}
{'idx': 313, 'pred_ans': '60006', 'GT': '120000'}
{'idx': 525, 'pred_ans': '432', 'GT': '12'}
{'idx': 417, 'pred_ans': '1400', 'GT': '3140'}
{'idx': 589, 'pred_ans': '2', 'GT': '15'}
{'idx': 360, 'pred_ans': '85', 'GT': '25'}
{'idx': 1019, 'pred_ans': '128', 'GT': '98'}
{'idx': 1109, 'pred_ans': '6', 'GT': '3'}
{'idx': 349, 'pred_ans': '3360', 'GT': '2640'}
{'idx': 1159, 'pred_ans': '75', 'GT': '50'}
{'idx': 1150, 'pred_ans': '39', 'GT': '21'}
{'idx': 716, 'pred_ans': '320', 'GT': '770'}
{'idx': 831, 'pred_ans': '1331', 'GT': '324'}
{'idx': 765, 'pred_ans': '290', 'GT': '490'}
{'idx': 1030, 'pred_ans': '20', 'GT': '24'}
{'idx': 28, 'pred_ans': '20', 'GT': '25'}
{'idx': 51, 'pred_ans': '12', 'GT': '5'}
{'idx': 950, 'pred_ans': '12', 'GT': '5'}
{'idx': 164, 'pred_ans': '3618540', 'GT': '15'}
{'idx': 1263, 'pred_ans': '640', 'GT': '500'}
{'idx': 54, 'pred_ans': '12', 'GT': '40'}
{'idx': 871, 'pred_ans': '52', 'GT': '48'}
{'idx': 1144, 'pred_ans': '41', 'GT': '34'}
{'idx': 1158, 'pred_ans': '1', 'GT': '7300'}
{'idx': 807, 'pred_ans': '3', 'GT': '4'}
{'idx': 949, 'pred_ans': '18', 'GT': '42'}
{'idx': 1282, 'pred_ans': '32', 'GT': '12'}
{'idx': 520, 'pred_ans': '21', 'GT': '63'}
{'idx': 166, 'pred_ans': '15', 'GT': '5'}
{'idx': 1188, 'pred_ans': '34', 'GT': '24'}
{'idx': 1285, 'pred_ans': '1208', 'GT': '1218'}
{'idx': 760, 'pred_ans': '6', 'GT': '16'}
{'idx': 691, 'pred_ans': '10', 'GT': '25'}
{'idx': 442, 'pred_ans': '59', 'GT': '49'}
{'idx': 412, 'pred_ans': '15', 'GT': '5'}
{'idx': 916, 'pred_ans': '13', 'GT': '14'}
{'idx': 984, 'pred_ans': '444', 'GT': '342'}
{'idx': 227, 'pred_ans': '8', 'GT': '9'}
{'idx': 495, 'pred_ans': '1000', 'GT': '200'}
{'idx': 1232, 'pred_ans': '5', 'GT': '15'}
{'idx': 401, 'pred_ans': '62800', 'GT': '14400'}
{'idx': 957, 'pred_ans': '5', 'GT': '45'}
{'idx': 1169, 'pred_ans': '-2', 'GT': '2'}
{'idx': 304, 'pred_ans': '2000', 'GT': '3200'}
{'idx': 50, 'pred_ans': '2042', 'GT': '294'}
{'idx': 622, 'pred_ans': '2', 'GT': '7'}
{'idx': 479, 'pred_ans': '5400', 'GT': '15400'}
{'idx': 770, 'pred_ans': '3', 'GT': '4'}
{'idx': 535, 'pred_ans': '3', 'GT': '16'}
{'idx': 651, 'pred_ans': '11600', 'GT': '2100'}
{'idx': 242, 'pred_ans': '2', 'GT': '3'}
{'idx': 953, 'pred_ans': '2', 'GT': '452'}
{'idx': 540, 'pred_ans': '50', 'GT': '39'}
{'idx': 282, 'pred_ans': '120', 'GT': '195'}
{'idx': 911, 'pred_ans': '10', 'GT': '64'}
{'idx': 1147, 'pred_ans': '20', 'GT': '22'}
{'idx': 711, 'pred_ans': '2', 'GT': '6'}
{'idx': 453, 'pred_ans': '4000', 'GT': '6400'}
{'idx': 68, 'pred_ans': '180', 'GT': '36'}
{'idx': 100, 'pred_ans': '80', 'GT': '175'}
{'idx': 46, 'pred_ans': '277', 'GT': '163'}
{'idx': 1061, 'pred_ans': '40', 'GT': '58'}
{'idx': 1069, 'pred_ans': '19', 'GT': '300'}
{'idx': 496, 'pred_ans': '50', 'GT': '38'}
{'idx': 473, 'pred_ans': '110', 'GT': '10'}
{'idx': 155, 'pred_ans': '160', 'GT': '280'}
{'idx': 926, 'pred_ans': '6', 'GT': '1'}
{'idx': 847, 'pred_ans': '846', 'GT': '975'}
{'idx': 357, 'pred_ans': '1', 'GT': '2'}
{'idx': 901, 'pred_ans': '6', 'GT': '1'}
{'idx': 75, 'pred_ans': '8', 'GT': '60'}
{'idx': 712, 'pred_ans': '114', 'GT': '14'}
{'idx': 416, 'pred_ans': '270', 'GT': '56'}
{'idx': 900, 'pred_ans': '2', 'GT': '15'}
{'idx': 845, 'pred_ans': '7', 'GT': '12'}
{'idx': 721, 'pred_ans': '275', 'GT': '2450'}
{'idx': 598, 'pred_ans': '2', 'GT': '69'}
{'idx': 1163, 'pred_ans': '9', 'GT': '12'}
{'idx': 414, 'pred_ans': '187', 'GT': '56'}
{'idx': 779, 'pred_ans': '368', 'GT': '255'}
{'idx': 538, 'pred_ans': '72', 'GT': '18'}
{'idx': 368, 'pred_ans': '42', 'GT': '18'}
{'idx': 174, 'pred_ans': '5', 'GT': '95'}
{'idx': 881, 'pred_ans': '9', 'GT': '16'}
{'idx': 1279, 'pred_ans': '126', 'GT': '180'}
{'idx': 951, 'pred_ans': '450', 'GT': '300'}
{'idx': 1058, 'pred_ans': '100', 'GT': '250'}
{'idx': 570, 'pred_ans': '7', 'GT': '23'}
{'idx': 1248, 'pred_ans': '1', 'GT': '750'}
{'idx': 714, 'pred_ans': '30', 'GT': '10'}
{'idx': 749, 'pred_ans': '6', 'GT': '3'}
{'idx': 115, 'pred_ans': '80', 'GT': '90'}
{'idx': 504, 'pred_ans': '0', 'GT': '2'}
{'idx': 585, 'pred_ans': '8', 'GT': '40'}
{'idx': 1190, 'pred_ans': '218', 'GT': '19'}
{'idx': 976, 'pred_ans': '777', 'GT': '540'}
{'idx': 876, 'pred_ans': '29', 'GT': '41'}
{'idx': 358, 'pred_ans': '120', 'GT': '20'}
{'idx': 979, 'pred_ans': '58', 'GT': '50'}
{'idx': 0, 'pred_ans': '26', 'GT': '18'}
{'idx': 331, 'pred_ans': '13', 'GT': '8400'}
{'idx': 690, 'pred_ans': '48', 'GT': '5760'}
{'idx': 447, 'pred_ans': '27', 'GT': '5'}
{'idx': 674, 'pred_ans': '600', 'GT': '12'}
{'idx': 586, 'pred_ans': '1600', 'GT': '800'}
{'idx': 382, 'pred_ans': '270', 'GT': '350'}
{'idx': 797, 'pred_ans': '9', 'GT': '540'}
{'idx': 904, 'pred_ans': '24', 'GT': '8'}
{'idx': 139, 'pred_ans': '48', 'GT': '70'}
{'idx': 303, 'pred_ans': '5800', 'GT': '1300'}
{'idx': 1047, 'pred_ans': '8', 'GT': '10'}
{'idx': 13, 'pred_ans': '5', 'GT': '18'}
{'idx': 1003, 'pred_ans': '400', 'GT': '480'}
{'idx': 110, 'pred_ans': '19', 'GT': '45'}
{'idx': 290, 'pred_ans': '3', 'GT': '390'}
{'idx': 392, 'pred_ans': '44', 'GT': '34'}
{'idx': 750, 'pred_ans': '440', 'GT': '4000'}
{'idx': 124, 'pred_ans': '20', 'GT': '10'}
{'idx': 502, 'pred_ans': '16', 'GT': '26'}
{'idx': 866, 'pred_ans': '29', 'GT': '28'}
{'idx': 172, 'pred_ans': '192', 'GT': '51'}
{'idx': 861, 'pred_ans': '12', 'GT': '30'}
{'idx': 905, 'pred_ans': '10', 'GT': '5'}
{'idx': 279, 'pred_ans': '36', 'GT': '6'}
{'idx': 205, 'pred_ans': '23', 'GT': '98'}
{'idx': 151, 'pred_ans': '11', 'GT': '5'}
{'idx': 291, 'pred_ans': '0', 'GT': '2'}
{'idx': 894, 'pred_ans': '16', 'GT': '26'}
{'idx': 868, 'pred_ans': '150', 'GT': '15'}
{'idx': 266, 'pred_ans': '130000', 'GT': '118000'}
{'idx': 752, 'pred_ans': '300', 'GT': '240'}
{'idx': 642, 'pred_ans': '7500', 'GT': '10800'}
{'idx': 31, 'pred_ans': '90', 'GT': '80'}
{'idx': 21, 'pred_ans': '8', 'GT': '14'}
{'idx': 1312, 'pred_ans': '1930', 'GT': '180'}
{'idx': 572, 'pred_ans': '95', 'GT': '100'}
{'idx': 1004, 'pred_ans': '6', 'GT': '8'}
{'idx': 284, 'pred_ans': '240', 'GT': '360'}
{'idx': 676, 'pred_ans': '120', 'GT': '240'}
{'idx': 1249, 'pred_ans': '80', 'GT': '56'}
{'idx': 418, 'pred_ans': '10', 'GT': '40'}
{'idx': 1038, 'pred_ans': '7', 'GT': '4'}
{'idx': 441, 'pred_ans': '200', 'GT': '80'}
{'idx': 122, 'pred_ans': '59', 'GT': '48'}
{'idx': 499, 'pred_ans': '8', 'GT': '10'}
{'idx': 869, 'pred_ans': '3300', 'GT': '500'}
{'idx': 795, 'pred_ans': '40', 'GT': '20'}
{'idx': 333, 'pred_ans': '0', 'GT': '100'}
{'idx': 406, 'pred_ans': '360', 'GT': '200'}
{'idx': 391, 'pred_ans': '143', 'GT': '15'}
{'idx': 948, 'pred_ans': '4', 'GT': '15'}
{'idx': 787, 'pred_ans': '40', 'GT': '25'}
{'idx': 675, 'pred_ans': '24', 'GT': '33'}
{'idx': 1235, 'pred_ans': '2', 'GT': '60'}
{'idx': 1168, 'pred_ans': '56', 'GT': '20'}
{'idx': 85, 'pred_ans': '1516', 'GT': '44'}
{'idx': 273, 'pred_ans': '540', 'GT': '315'}
{'idx': 261, 'pred_ans': '64', 'GT': '62'}
{'idx': 942, 'pred_ans': '35', 'GT': '205'}
{'idx': 922, 'pred_ans': '10', 'GT': '60'}
{'idx': 527, 'pred_ans': '5', 'GT': '48'}
{'idx': 393, 'pred_ans': '9', 'GT': '20'}
{'idx': 652, 'pred_ans': '46', 'GT': '75'}
{'idx': 734, 'pred_ans': '15', 'GT': '17'}
{'idx': 403, 'pred_ans': '28', 'GT': '81'}
{'idx': 1013, 'pred_ans': '5', 'GT': '2'}
{'idx': 788, 'pred_ans': '250', 'GT': '100'}
{'idx': 736, 'pred_ans': '33', 'GT': '3'}
{'idx': 583, 'pred_ans': '112', 'GT': '120'}
{'idx': 1065, 'pred_ans': '70', 'GT': '95'}
{'idx': 836, 'pred_ans': '100', 'GT': '140'}
{'idx': 159, 'pred_ans': '8', 'GT': '15'}
{'idx': 1124, 'pred_ans': '21', 'GT': '64'}
{'idx': 620, 'pred_ans': '1519', 'GT': '1509'}
{'idx': 87, 'pred_ans': '799', 'GT': '9360'}
{'idx': 754, 'pred_ans': '63', 'GT': '89'}
{'idx': 759, 'pred_ans': '200', 'GT': '60000'}
{'idx': 169, 'pred_ans': '160', 'GT': '120'}
{'idx': 709, 'pred_ans': '4800', 'GT': '3000'}
{'idx': 305, 'pred_ans': '5', 'GT': '4'}
{'idx': 319, 'pred_ans': '12', 'GT': '15'}
{'idx': 772, 'pred_ans': '75', 'GT': '50'}
{'idx': 163, 'pred_ans': '10', 'GT': '50'}
{'idx': 377, 'pred_ans': '252', 'GT': '50'}
{'idx': 660, 'pred_ans': '5', 'GT': '15'}
{'idx': 523, 'pred_ans': '126', 'GT': '74'}
{'idx': 73, 'pred_ans': '765', 'GT': '255'}
{'idx': 1172, 'pred_ans': '465', 'GT': '93'}
{'idx': 859, 'pred_ans': '3800', 'GT': '1520'}
{'idx': 745, 'pred_ans': '900', 'GT': '1100'}
{'idx': 573, 'pred_ans': '1800', 'GT': '600'}
